City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,agadez,19.75,10.25,82.69,15,0,10.76,NE,1667831163
318,rudnya,54.947,31.0934,40.82,96,100,8.86,RU,1667831163
319,alofi,-19.0595,-169.9187,69.69,88,16,2.3,NU,1667830883
320,cadiz,36.5,-5.75,72.82,47,0,7.18,ES,1667831094
321,donskoye,45.4552,41.9741,39.33,60,43,17.54,RU,1667831164
322,nalut,30.3333,10.85,69.93,30,0,4.65,LY,1667831164
323,gondanglegi,-7.7479,112.0132,77.02,89,100,1.88,ID,1667831164
324,lar,26.2039,83.9717,74.84,45,66,1.45,IN,1667831165
325,sorland,67.667,12.6934,42.66,81,20,18.41,NO,1667831165
326,zhuji,29.7188,120.2423,58.95,83,0,1.74,CN,1667831165
327,itarema,-2.9248,-39.9167,86.45,59,61,16.35,BR,1667831166
328,majene,-3.5403,118.9707,75.63,94,100,4.65,ID,1667831166
329,kikwit,-5.041,18.8162,77.49,90,100,4.25,CD,1667831166
330,painesville,41.7245,-81.2457,57.04,53,0,12.66,US,1667830982
331,andilamena,-17.0167,48.5833,74.57,49,7,12.39,MG,1667831167
332,rawson,-43.3002,-65.1023,72.0,35,62,15.32,AR,1667831167
333,avera,33.194,-82.5271,71.11,77,0,5.03,US,1667831167
334,los llanos de aridane,28.6585,-17.9182,72.12,79,75,8.01,ES,1667830923
335,portland,45.5234,-122.6762,40.95,94,100,8.05,US,1667831104
336,verkhnyaya inta,65.9811,60.3094,25.99,94,100,15.75,RU,1667831168
337,hervey bay,-25.2986,152.8535,67.69,72,1,12.28,AU,1667831166
338,bathsheba,13.2167,-59.5167,86.61,70,75,19.57,BB,1667831168
339,alfeld,51.9838,9.8199,59.31,91,100,1.01,DE,1667831168
340,marakkanam,12.2,79.95,78.66,82,4,12.77,IN,1667831169
341,mitu,1.1983,-70.1733,78.93,75,98,1.5,CO,1667831169
342,grand gaube,-20.0064,57.6608,77.4,67,2,5.01,MU,1667831169
